bhuman/GameController	jankotek/mapdb	junit-team/junit	ornicar/lila	niklasf/python-chess	
3	56	158	105	6	
3	52	159	106	6	
3	50	156	110	6	
3	50	156	112	6	
3	50	158	113	6	
3	50	152	118	6	
3	51	152	107	6	
3	52	152	112	6	
3	50	152	108	6	
3	50	154	113	6	
3	50	153	104	6	
3	50	147	109	6	
3	52	146	115	6	
3	47	149	107	6	
3	48	149	109	6	
3	49	149	104	6	
3	50	149	105	6	
3	50	149	106	6	
3	50	147	104	6	
3	51	147	105	6	
3	52	147	105	6	
3	49	147	105	6	
3	50	147	99	6	
3	50	147	98	6	
3	50	147	98	6	
3	50	148	97	6	
3	52	149	100	6	
3	53	149	100	6	
3	53	149	101	6	
3	54	150	103	6	
3	51	150	103	6	
3	52	152	103	6	
3	52	152	108	6	
3	52	152	106	6	
3	52	149	107	7	
3	52	149	108	7	
3	52	150	110	7	
3	50	150	110	7	
3	50	150	111	7	
3	52	150	111	7	
3	52	150	107	7	
3	50	150	105	7	
3	41	150	104	7	
3	40	150	106	7	
3	40	150	106	7	
3	42	151	105	7	
3	42	150	106	7	
3	41	150	108	8	
3	39	150	113	8	
3	39	150	110	8	
3	40	151	110	8	
3	40	151	110	8	
3	40	151	112	8	
3	40	151	111	8	
3	40	151	111	8	
3	40	152	111	8	
3	40	151	112	8	
3	44	152	105	9	
3	48	151	112	8	
3	47	151	112	9	
3	49	151	114	9	
3	49	150	110	9	
3	52	150	113	9	
3	52	150	116	9	
3	54	150	111	9	
3	54	151	113	9	
3	54	152	114	9	
3	54	152	123	9	
3	54	152	126	9	
3	54	152	130	9	
3	55	152	126	9	
3	56	153	124	9	
3	56	154	129	9	
3	57	153	133	9	
3	51	148	134	9	
3	52	148	134	9	
3	52	146	134	9	
3	52	146	139	9	
3	52	147	142	6	
3	53	146	134	6	
3	53	147	134	6	
3	53	146	138	6	
3	52	147	136	7	
3	52	148	138	7	
3	53	148	143	7	
3	51	147	148	7	
3	50	146	143	7	
3	50	147	141	7	
3	50	147	141	7	
3	50	149	136	7	
3	51	150	136	7	
3	56	150	139	5	
3	51	148	141	5	
3	53	148	151	5	
3	54	149	147	5	
3	52	149	147	5	
3	52	149	147	5	
3	52	149	148	5	
3	51	150	150	5	
3	51	151	160	5	
1	51	149	161	6	
1	51	149	160	5	
1	52	148	163	5	
1	52	147	170	5	
1	52	148	173	5	
1	52	148	174	5	
